ID;Fragancia;Tipo;UnidadGr;StockInicialGr;StockMinimoGr;ValorGramo;IVA;Observaciones
PROD001;1 MILLION RABANNE M;M;1;0;20;1500;0.19;Importado desde Excel
PROD002;212 CAOLINA HERRERA M;M;1;0;20;1500;0.19;Importado desde Excel
PROD003;212 CAROLINA HERRERA M;M;1;0;20;1500;0.19;Importado desde Excel
PROD004;212 VIP CAROLINA HERRERA M;M;1;0;20;1500;0.19;Importado desde Excel
PROD005;212 VIP ROSE CAROLINA HERRERA F;F;1;0;20;1500;0.19;Importado desde Excel
PROD006;360 PERRI ELLIS F;F;1;0;20;1500;0.19;Importado desde Excel
PROD007;360 PERRY ELLIS M;M;1;0;20;1500;0.19;Importado desde Excel
PROD008;9 (NUEVE) PM AFNAN M;M;1;0;20;1500;0.19;Importado desde Excel
PROD009;9PM REVEL U;U;1;0;20;1500;0.19;Importado desde Excel
PROD010;AL NOBLE SAFFER U;U;1;0;20;1500;0.19;Importado desde Excel
PROD011;AMATISTA U;U;1;0;20;1500;0.19;Importado desde Excel
PROD012;AMBER OUD U;U;1;0;20;1500;0.19;Importado desde Excel
PROD013;AMOR AMOR CHACHAREL F;F;1;0;20;1500;0.19;Importado desde Excel
PROD014;ANGARA F;F;1;0;20;1500;0.19;Importado desde Excel
PROD015;ARABIAN TONKA U;U;1;0;20;1500;0.19;Importado desde Excel
PROD016;ASAD LATTAFA M;M;1;0;20;1500;0.19;Importado desde Excel
PROD017;BADE AL OUD SUBLIME U;U;1;0;20;1500;0.19;Importado desde Excel
PROD018;BAHARA ROUS F;F;1;0;20;1500;0.19;Importado desde Excel
PROD019;BFF KIM KARDASHIAN F;F;1;0;20;1500;0.19;Importado desde Excel
PROD020;BLACK XS M;M;1;0;20;1500;0.19;Importado desde Excel
PROD021;CANCAN PARIS HILTON F;F;1;0;20;1500;0.19;Importado desde Excel
PROD022;CAROLINA HERRERA F;F;1;0;20;1500;0.19;Importado desde Excel
PROD023;CK ONE CALVIN KLEIN U;U;1;0;20;1500;0.19;Importado desde Excel
PROD024;CLOUD ARIANA GRANDE F;F;1;0;20;1500;0.19;Importado desde Excel
PROD025;CLOUD PINK F;F;1;0;20;1500;0.19;Importado desde Excel
PROD026;CLUB DE NIUT F;F;1;0;20;1500;0.19;Importado desde Excel
PROD027;CLUB DE NUIT M;M;1;0;20;1500;0.19;Importado desde Excel
PROD028;COCO MADEMOISLE CHANEL F;F;1;0;20;1500;0.19;Importado desde Excel
PROD029;COCONUT F;F;1;0;20;1500;0.19;Importado desde Excel
PROD030;COLORANTES F;F;1;0;20;1500;0.19;Importado desde Excel
PROD031;CUPCAKE ROJO FEM F;F;1;0;20;1500;0.19;Importado desde Excel
PROD032;DIESEL BLANCA M;M;1;0;20;1500;0.19;Importado desde Excel
PROD033;FANTASTY F;F;1;0;20;1500;0.19;Importado desde Excel
PROD034;FEROMONAS F;F;1;0;20;1500;0.19;Importado desde Excel
PROD035;GAIA F;F;1;0;20;1500;0.19;Importado desde Excel
PROD036;GOD OF FIRE U;U;1;0;20;1500;0.19;Importado desde Excel
PROD037;GOOD GIRL F;F;1;0;20;1500;0.19;Importado desde Excel
PROD038;HAYA LATTAFA F;F;1;0;20;1500;0.19;Importado desde Excel
PROD039;HUGO BOSS F;F;1;0;20;1500;0.19;Importado desde Excel
PROD040;HUGO BOSS M;M;1;0;20;1500;0.19;Importado desde Excel
PROD041;IL KAKUNO ILMIN U;U;1;0;20;1500;0.19;Importado desde Excel
PROD042;IL ROSSO F;F;1;0;20;1500;0.19;Importado desde Excel
PROD043;INTENSE CAFÉ U;U;1;0;20;1500;0.19;Importado desde Excel
PROD044;INVICTUS RABANNE M;M;1;0;20;1500;0.19;Importado desde Excel
PROD045;INVICTUS VICTORY ELIXIR RABANNE M;M;1;0;20;1500;0.19;Importado desde Excel
PROD046;JEAN PAUL M;M;1;0;20;1500;0.19;Importado desde Excel
PROD047;KHAMRAH LATTAFA U;U;1;0;20;1500;0.19;Importado desde Excel
PROD048;KING BHARARA M;M;1;0;20;1500;0.19;Importado desde Excel
PROD049;LA VIDA ES BELLA LANCOME F;F;1;0;20;1500;0.19;Importado desde Excel
PROD050;LACOSTE RED M;M;1;0;20;1500;0.19;Importado desde Excel
PROD051;LACOSTE WHITE L 12.12 M;M;1;0;20;1500;0.19;Importado desde Excel
PROD052;LIGHT BLUE DOLCE GABBANA F;F;1;0;20;1500;0.19;Importado desde Excel
PROD053;LOCO LOEWE F;F;1;0;20;1500;0.19;Importado desde Excel
PROD054;MILLON LUKY M;M;1;0;20;1500;0.19;Importado desde Excel
PROD055;MISS DIOR F;F;1;0;20;1500;0.19;Importado desde Excel
PROD056;NITRO ELIXIR M;M;1;0;20;1500;0.19;Importado desde Excel
PROD057;NITRO RED M;M;1;0;20;1500;0.19;Importado desde Excel
PROD058;ODYSSEY MANDARIN SKY M;M;1;0;20;1500;0.19;Importado desde Excel
PROD059;OMBRE NOMADE LOUIS VUITTONILMIN U;U;1;0;20;1500;0.19;Importado desde Excel
PROD060;OMNIA CRISTALINE F;F;1;0;20;1500;0.19;Importado desde Excel
PROD061;PARADOXE F;F;1;0;20;1500;0.19;Importado desde Excel
PROD062;PARIS HILTON F;F;1;0;20;1500;0.19;Importado desde Excel
PROD063;PASSPORT F;F;1;0;20;1500;0.19;Importado desde Excel
PROD064;PERFUMEROS F;F;1;0;20;1500;0.19;Importado desde Excel
PROD065;RALPH F;F;1;0;20;1500;0.19;Importado desde Excel
PROD066;SANTAL 33 U;U;1;0;20;1500;0.19;Importado desde Excel
PROD067;SCADA SORBETO ROSSO F;F;1;0;20;1500;0.19;Importado desde Excel
PROD068;SCANDALOUS F;F;1;0;20;1500;0.19;Importado desde Excel
PROD069;SILVER MONTAIN WATER CREED U;U;1;0;20;1500;0.19;Importado desde Excel
PROD070;SOLO LOEWE M;M;1;0;20;1500;0.19;Importado desde Excel
PROD071;TOMMY GIRL HILFIGER F;F;1;0;20;1500;0.19;Importado desde Excel
PROD072;TOMMY TOMMY HILFIGER M;M;1;0;20;1500;0.19;Importado desde Excel
PROD073;TOY 2 MOCHINO F;F;1;0;20;1500;0.19;Importado desde Excel
PROD074;TOY BOY MOCHINO M;M;1;0;20;1500;0.19;Importado desde Excel
PROD075;ULTRAMALE M;M;1;0;20;1500;0.19;Importado desde Excel
PROD076;VAINILLA FREAK F;F;1;0;20;1500;0.19;Importado desde Excel
PROD077;VALENTINO F;F;1;0;20;1500;0.19;Importado desde Excel
PROD078;VALENTINO M;M;1;0;20;1500;0.19;Importado desde Excel
PROD079;VALENTINO UOMO BORIN ROMA M;M;1;0;20;1500;0.19;Importado desde Excel
PROD080;VERSACE M;M;1;0;20;1500;0.19;Importado desde Excel
PROD081;WASICE MEN M;M;1;0;20;1500;0.19;Importado desde Excel
PROD082;YARA LATTAFA F;F;1;0;20;1500;0.19;Importado desde Excel
PROD083;YARA CANDY F;F;1;0;20;1500;0.19;Importado desde Excel
PROD084;YUM YUM F;F;1;0;20;1500;0.19;Importado desde Excel